,Treinamento,Classificacao
0,@unxarted joga dota 2 comigo cc,1
1,preciso dormir preciso estudar ai eu vou e viro a noite jogando dota 2,1
2,@levieholanda viado dota é muito mais evoluído nessas paradas que o lol pq tem uma oficina,1
3,@fiaspo eu to jogando dota homem,1
4,come dota,1
5,eu q sou -77% nerd peguei a editoria mais nerd do mundo e tô aqui lendo sobre dota,1
6,quit dota,1
7,prefiro dota doq lol,1
8,@luanhf_ dota quarta pra quinta vem e se vira com teu note,1
9,se no novo patch do dota não neffarem a legion necro sven tinker monkey king e não corrigirem média de mmr de uma partida eu desisto,1
10,tara dota ,1
11,record de twitch de dota 67 seguidores ja sou sucesso na twitch https//tco/85fbizbncc,1
12,@gabs_kitano to baixando dota,1
13,@matheusreale @anazionw e porque hots é muito simples enquanto q dota é muito complicado lol acho q é o meio termo,1
14,rt @niclevicz pensa na felicidade que a comunidade do dota br está haha #gosg https//tco/u0j1rznaif,1
15,gostei de um vídeo @youtube https//tco/rvvyv7im6k jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
16,i liked a @youtube video https//tco/v1grbjyamo dota 2 favorável - comeback is real,1
17,rt @pri0ri prova amanha e eu jogando dota é essa mae aqui https//tco/h2sq2tlbae,1
18,@stealthyntc mas eu tb fico assim com o cs jesusate dota q eu nem sei jogar eu fico com vontade de jogar se eu ver camp,1
19,@_alwayswannadie eu chamo tu nao atende porra nao sei jogar dota véi,1
20,eu to realmente jogando dota eu n to acreditando,1
21,alguém joga dota 2 aqui?,1
22,os cara nunca vivencio nada ne manomas é rép rép rép po segura o dota awe,0
23,fui chamado pra jogar em um time de dota nukedito,1
24,@tensoblog da uma olhada nisso https//tco/ss1rg6h2no,0
25,quit dota https//tco/bcon2sjp8i,1
26,i liked a @youtube video https//tco/7iw3w1idxx dota 2 desfavorável - uma falsa ilusão,1
27,@kalylmady e tu joga dota desde quando kalyl? lasuhshash,1
28,@reversotario ou tu ja jogo dota ????,1
29,eu até queria jogar dota mas do jeito que meu braço tá doendo ,1
30,chen é o melhor herói do dota e eu posso provar,1
31,do dando find solo ranked no dota to com mto medo,1
32,@alvesjulia05 oxi jogo saiu nesse ano e já passou dota e cs  de tão viciante q é esse jogo kkk,1
33,hj eu fui pra rua e na balaids tinha um cara com camisa de dota e um copo do bts i shit you not,1
34,@r_erik eu sei tô tirando onda sei que quem joga dota não gosta de lol,1
35,gostei de um vídeo @youtube https//tco/v5mwgorp47 1v1 vs bot ai - ti7 dota 2,1
36,@davi_kazz tem concordar no dota né pq no cs rsrs 16x2 rsrs,1
37,joguei 7 partidas de dota ganhei as 7 ?,1
38,@mfaooficial como jogar dota 2 - ep 02 herói itens fases de jogo e runas de recomp https//tco/s8mzl0hmzr,1
39,@li_portilho eu gosto de dota  aff desigualdade social no brasil é absurdo mesmo heim,1
40,saudades de ouvir o narrador do dota falar your enemies is dead,1
41,cafezinho com meu amor ? @kaucastro16 https//tco/eztmw8rnvs,0
42,@gabrielleos1 tô com uns migo jogador de dota e cs tive que ensinar tudo tbm,1
43,dota é uma desgraça,1
44,gostei de um vídeo @youtube https//tco/j4m8my0jqs carry earthshaker | 9098 mmr dota 2,1
45,@oldarthbastarde joga dota 2 ouvino rap,1
46,caralho achar partida no dota é um cu,1
47,dota 2 3 banners para youtube editáveis em psdhttps//tco/7mb8mrmno0 https//tco/3ncvh7xbgo,1
48,@dopatwo pode me dar um spoiler do que vai ser o do dota?&lt;3o do ow eu n sei nada,0
49,@davidmachadoo pior que tem esse tipo de câncer em toda comunidade cs em nem ouso abrir nas férias escolares e no… https//tco/axwdqkchhu,1
50,@julia_dota olha agr isso é verdade,0
51,@muhammadnadzmil @twt_dota bro item necro tu x de set ?,1
52,g dota https//tco/k2ypxdklqa,1
53,@gervaziok só joguei dota,1
54,force dota,0
55,porra falta só 1 nooty pra mim jogar dota com o gabriel,1
56,3400 eeeeeeeeeee boy!! #mmr #roadto5500 #dota,1
57,@pew3x recomendar algúm jogo aee to medio cansado de dota e a comunidade tóxica,1
58,mt preocupado com @doncamath q resolveu agora trocar maconha por dota,1
59,adicionei um vídeo a uma playlist @youtube https//tco/5jkt1sbowi - dota,1
60,dota é melhor abcs,1
61,eu tô 2/7 aqui no dota contra bot no hard,1
62,deixa eu botar mais um som de dota,1
63,@quimericoyt @youtube eu só entendo a parte do dota,1
64,jogando dota 2,1
65,nem dota eu jogo mais overwatch consumiu toda a minha nerd bobeira,1
66,quer saber eu vou jogar dota 2 pois é só oq resta p esse domingão,1
67,livrai me deus da vontade de jogar dota pra não virar um renan da vida,1
68,wtf kkkkkkkkkkkkkkkk ele excluiu todos som de dota 2 dele,1
69,@asdfghieee_ no time for dota na ?,1
70,@jmhayrarahusop actually 16 hrs dota 8 hrs tulog,1
71,quem tem a expressão facial mais bizarra dos pro players de dota?,1
72,esse pc roda dota mt bem e cs tbm o meu é um lixo,1
73,estranho como apesar de eu não jogar eu entendo tudo que ta acontecendo em hots agora em dota eu não entendo pouca coisa que ta na tela,1
74,obrigado aos amigos na twitch agora é muito mais legal morrer no dota com voces assistindo e me xingando,1
75,@nininaninanao kkkkkkkkkkkkkkk me disseram que era final do dota fui ludibriado kkkkkkkkkk,1
76,mano vo começar a jogar dota amanha lol já ta ficando enjoativo,1
77,rt @juninhodadez fé - porque a gente acreditapaz - porque a gente precisaamor - porque a gente merece,0
78,porque dota eh familia e voce ja sabe - o nosso time ja formo 00,1
79,gostei de um vídeo @youtube https//tco/saygbjla3w dota 2 gold,1
80,a morgana é do dota ou do lol?,1
81,tara dota,0
82,a abertura do cblol esse ano foi muito boa uma pena o publico de dota ser pequeno principalmente  aqui,1
83,rt @pri0ri o unico jogo q existe é dota 2 o resto é matrix irreal feita sob medida pra vender pro gado comprar jogar 20h e cansar pra com…,1
84,mano dota e maneiro p caralho mas todo boneco la e doente,1
85,gostei de um vídeo @youtube https//tco/4sjzqidsny jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
86,@anazionw deve ser porque hots tem muito mais influência de lol do que de dota,1
87,só dota kk https//tco/xscujp4a7t,1
88,gostei de um vídeo @youtube https//tco/e8jobgx3xj sniper dota 2 patch 706 new meta funny gameplay,1
89,só pq eu to com vontade de jogar dota a merda da @digaoi faz isso https//tco/qb1fsbwf0s,1
90,de manhã de tarde de noite todo dia dota hora e todos momento https//tco/zh8suqchcn,1
91,carreguei minha segunda partida ranqueada de dotaainda tou virgem,1
92,tara dota,0
93,@renanribeiro2r joguei dota e não entendi nada,1
94,tomei um ban de 24hrs no dota ok,1
95,@lolnakay um meme q actceu no dota q os cara morderam,1
96,@randolfo_gp eu comecei no dota mas era horrivel ai fui ser horrivel no lol mesmo,1
97,rt @giockito sorteo ak-47 redlinepara entrarfollow @giockito + @monopoly retweetdebeis estar https//tco/weaizzjnkpacaba al fin…,0
98,@lolnakay e um texto da final do dota  so trocaram algumas palavras  e isto,1
99,gostei de um vídeo @youtube https//tco/00jil1jsyg - lich mid | carry build d | dota 2 pro mmr gameplay #2,1
100,parece que pinta dota,0
101,lembro de querer jogar warcraft 3 tradicional e geral querendo jogar dota hahah acho que peguei rancor hahah,1
102,cansei de lol manoto baixando dota,1
103,@heeeymatheeus eu estou falando a do dota não a do lol nem a do cs,1
104,gostei de um vídeo do @youtube https//tco/plqo02qa0b diferenças entre league of legends e dota 2!,1
105,vou aprender jogar dota,1
106,mano techies é o pior hero do dota não sei porque ainda tem uns caras retardado que ainda da pick nisso,1
107,@germaniiium for ex dota,1
108,gostei de um vídeo @youtube https//tco/njogch0use jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
109,@dj4nha to falando os maluco da comunidade do dota -,1
110,meu mmr no dota vai ficar 0 puta merda,1
111,@cettaks tipo eu sei q nao é eu me divirto no dota sempre tem um time gente boamas nao toco mais em competitivo mais!,1
112,gostei de um vídeo @youtube https//tco/xtr7mjobyl jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
113,valve corporation no dota 2 queremos jogar com as pessoas de acordo com a linguagem da steam! https//tco/dn5moj7xng,1
114,quanto tempo que eu não jogava dota até desaprendi,1
115,gostei de um vídeo @youtube https//tco/inqo6hy2ob 7315mmr chaos knight dota 2 gameplay,1
116,rt @mvcosta_ só pq eu to com vontade de jogar dota a merda da @digaoi faz isso https//tco/qb1fsbwf0s,1
117,@mariacaroluna ontem o instagram me sugeriu uma publicação de dota eu fiquei tipo grrrrrrrrrrr,1
118,dota 2 - não consigo jogar isso https//tco/zc1wf5sugc via @youtube,1
119,quit dota,1
120,eu acordando cedo jogando um dota e ja passando raiva essa hora,1
121,minalas pa sa dota,0
122,gostei de um vídeo @youtube https//tco/monag4zqc8 to earthshaker like a boss - 4 man epic echo slam by gh god - dota 2,1
123,vai estudar corolho — prefiro jogar dota desculpa https//tco/5ggamn3klq,1
124,5 likes eu lago o lol e passo a jogar dota dnv,1
125,@castrohoe ata ai tem que se fudeinternet so da otario- dota mano -,1
126,porracaralho to dota bwgada eu xaralho subiu umarrepio na bunda https//tco/gqpa8libwz,1
127,gostei de um vídeo @youtube https//tco/zdpqthlzjo jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
128,momento lol acabou não gosto do jogo só curto o competitivo dota é o poder,1
129,@kengarooooooo tara dota 2,0
130,@mufasa_pabliim vamo jogar dota ta eu e raichu aqui ta acabando,1
131,@yurilanzarin tao ruim qie devia se chamar vc no dota,1
132,queria ser proplayer de dota 2 pra ir pro ti e eles fazer aqueles curtas contando minha historia,1
133,gostei de um vídeo @youtube https//tco/dao4yijdlm] dota-2 segunda é dia de rankeada com os jaja!,1
134,sdds jogar dota,1
135,wtf fui ver e era a minha primeira partida de enche no dota 2 kkkkkk,1
136,dota 2 recebe análises negativas no steam por que half-life não é mais feito - gamevicio https//tco/mktjx2aqja https//tco/85xnd00bar,1
137,gerando resultados estatísticos pro meu primeiro paper meu computador tá sofrendo parece até que tô jogando dota na configuração ultra,1
138,vamo dota bbsss,1
139,nunca mais quero jogar dota,1
140,rt @chicobarney quem diria que o apocalipse seria anunciado por uma senhorinha de feição tão simpática https//tco/9figefkvok,0
141,dota continua 1 lixo né,1
142,segunda feira lixo queria está no meu dota,1
143,eu so me meto com garotos q conversam comigo enquanto assistem finais de dota ou lol q q vcs acham q to fazendo com a minha vida caras,1
144,quando acaba uma partida de dota te da mó vontade de ter uma vida produtiva aí começa outra partida e a vontade passa,1
145,dota2alguem tem beta key de dota 2 sobrando pra me invitar? ou gift sei lah? dota2   steam jth_nth,1
146,amanhã eu não trabalho e nem estudo pode vim viradao de dota,1
147,gostei de um vídeo @youtube https//tco/ffyi4jvclo - invoker mid | 9570+ mmr | dota 2 pro mmr gameplay #3,1
148,@luanrawn no dota então foda!,1
149,@tensoblog quais jogos tu tá streamando? só vi dota,1
150,rt @kirstenlopinac quit dota https//tco/bcon2sjp8i,1
151,1200 horas de dota eu podia ter aprendido a falar um idioma com esse tempo,1
152,@catsrawn mas é uma campeonato importante poxa eu nem jogo lol joguei alguns meses até pegar outro prefiro dota e estou adorando,1
153,saudades de jogar dota que eu já sei bastante coisa até mas o público que joga é horrível agora tenho dois pra me ajudar a jogar lol,1
154,@regina1do não discuto com quem não joga dota pego meu ult e vou jogar dota,1
155,rt @cacoveroni admiro muito professor porque o ser humano que dedica a vida a não socar a cara de adolescente retardado tem que ter muito…,0
156,vo joga 1 dota e partiu zzzz,1
157,entrou uma mosca no meu quarto e fui pisoteada pelos meus gatos q saíram desesperados atrás dela,0
158,diz que n me trocaria q sla oq me ama sla oq nunca me largar n vacilo mais sla mentiraaaaaaa! aaaaaaataaaaaa! tá 84 anos nesse dota aê,1
159,amo a dota mas esses exercícios são terríveis,0
160,@fernandezpingg tara dota,0
161,rt @blacklegion33 eu dota #bostonmajor,0
162,g dota,0
163,@bayan_dii tra dota?,0
164,@renzdeee tara dota!,0
165,se maicon parasse de gastar 70 conto em dota todo mês já dava pra ter comprado overwatch,1
166,gostei de um vídeo @youtube https//tco/uzbq1y6kjw seu suporte na lane - ladeira do mmr - dota 2,1
167,mais prints como essa ? curte lá dota 2 xets https//tco/e3rhkko9l8,1
168,to bem jogando dota 2 crente que vou ganhar uma kkkkkk trouxa,1
169,madu querendo relacionamento abertomazu parou de jogar dotaé o fim dos tempos,1
170,vai ser legal quando eu tiver lá com meus 40 anos e abrir minha conta no dota adivinha lowwwww,1
171,gostei de um vídeo @youtube https//tco/jc5mzptmjx jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa!,1
172,@ahvsfporra só te segui pq vc foi legal comigo no dota &lt;3 a farinha n sabe explicar kkkkkkkkkkkkkkk,1
173,queria que o cblol tivesse mais liberdade e não tanto censura seria da hora demais um cenário tipo do dota ou smash,1
174,rt @colandovelcro_ que pizão luiz https//tco/vpsxdkk9hr,0
175,aral o dota?,0
176,hoje foi um dia perfeito pra me estressar jogando dota e cs além de me frustrar com a falta de rick and morty,1
177,rt @pandii_corn como jogar dota 2 - ep 02 herói itens fases de jogo e runas de recompensa! https//tco/3udo6hihlw via @youtube de @mfa…,1
178,@sharmine95 come dota,0
179,@pdsdoto eu amo dota mas odeio joga-lo,1
180,@pri0ri dota é bosta,1
181,hora daquele erro que a gente comete algumas vezes ao decorrer da vidaaquela ranked no dota aos domingos às 943 da manhã,1
182,rapaz um dia vou juntar com uma galera e comprar um time de dota,1
183,@jyuan99 oi dota mou?,1
184,quando a @ joga dota e nao lolzin https//tco/mlcp6duboh,1
185,tara dota,0
186,@hallumination tara dota,0
187,me fazendo de lesa jogando dota como se amanhã não fosse segunda,1
188,quando eu era moleque eu fui numa lan house e tive uma experiência ruim de dota vai ver ficou esse trauma,1
189,tara dota?,0
190,2017 e quase 2018 e opixel nao eh rapper de dota,0
191,@zanfa zanfa vem joga dota na twitch,1
192,gostei de um vídeo @youtube https//tco/5jkt1sbowi - dota,1
193,gostei de um vídeo @youtube https//tco/0t8jwdutny twitch dota 2 stream moments #90 ft cr1t- admiralbulldog and ppd,1
194,eu nao aguento mais cair com peruano no dota,1
195,veja os usuários que acessaram seu perfil agora https//tco/r37pdca06t,0
196,rt @ciguero come dota,0
197,tara dota ?,0
198,dota não é pra mim kkkkkkkkkkkkkkkkkkkkk,1
199,gostei de um vídeo @youtube https//tco/v0d4anefom que lá vem a história! - heroes of the storm dota e lol,1
200,gostei de um vídeo @youtube https//tco/71oellbrhf 2 - 10 vs 10 #1 todo mundo de dagon! dota 2 momentos engraçados,1
201,g dota 2 #reddays,1
202,@barbiegarcez as maravilhas que vc só encontra tal do dota jogo de suporte também é sei exatamente o que vc passa,1
203,a pessoa dota uma criança dai 19 anos depois avisam uma mulher gravida q uma mulher ali adotou uma criança dai ela vai la oferecer,0
204,@ianogawa_ é porque é hora de dota,1
205,@arthuurmv hauahauah pior que tenho saudade disso dota de madrugada e dps café da manhã na pires,1
206,@jaimepadua e se for rolar um furiadota da um toque hahaha,1
207,mano baixei dota aqui depois de mais de dois anos sem jogar e removeram o witchcraft da death prophet!!!!!! como assim caralho,1
208,rt @nicesthing quando vc tá sem dinheiro vc pensa as coisas mais ridículas ai se eu não tivesse comprado aquele pastel em abril de 2014 e…,1
209,fazia tempo q eu não jogava partidas de dota tão boas valeu a pena vir pra cá,1
210,@htrodrigues1 sabe oq é isso? dota 2,1
211,quit dota! https//tco/actuowszn2,1
212,joga dota pq tem inveja do sucesso de lol = ??,1
213,@nikfg07 vem dota logo,1
214,@idougln nem me fala em gg que eu ja lembro do dota,1
215,@brunobnzt que mané joga dota negocio é joga liga das lenda,1
216,lá vou eu baixar dota de novo,1
217,gostei de um vídeo @youtube https//tco/hokypbk9jd jogar dota 2 - ep 01 bem vindos ao dota 2!,1
218,açaí aqui no mary dota perto de casa vou todo dia foda-se,0
219,@lolsanlucar vamos pal dota,0
220,@ahrinchan ashudhausd na real to falando com um amigo mas teve uma mensagem dele q nem chegou pra mim me chamando p… https//tco/v01dtoyomj,0
221,tara dota dos hehehe,0
222,eh absolutamente impraticavel manter um dialogo continuo com jogadores de dota,1
223,caralho joguei um dota q me stressou horrores agora,1
224,gostei de um vídeo @youtube https//tco/sbnbl5magd team of dreams! miracle dendi zai matu mind_control - epic dota 2,1
225,@bielneporibeiro vc é muito escroto ze quem joga dota e lol ao mesmo tempo,1
226,rt @juninhodadez por mais difícil que seja nunca deixe de acreditar em dias melhores,0
227,@lorenapineiro por isso q eu larguei dota,1
228,@lifeip_ eu virei pro player de dota mas precisei parar por causa do estágio,1
229,@poshota faltou lol e dota 2 aí,1
230,quit dota,1
231,já quem joga dota tanto faz,1
232,tara dota na https//tco/8t3oa10ljv,0
233,hoje tem como jogar dota 2!!!!,1
234,quem tiver afim de jogar entra no channel do dota 2 que vou jogar uma partidinha antes de dormir,1
235,a procura duma namorada q jogue dota cmg,1
236,gostei de um vídeo @youtube https//tco/7mpqjc8ki1 no dota is real ? - dotinha da madruga #30,1
237,gostei de um vídeo @youtube https//tco/e6h8marhst 1 sven super carry - dota 683d style8x,1
238,@toshii_ é pq dota é merda,1
239,gostei de um vídeo @youtube https//tco/b3lgm9upmm - meepo mid | ez build 11k gpm | dota 2 pro mmr gameplay,1
240,@mrlrldbrrs @techtudo @dellnobrasil migga eu realmente espero que não pois odeio lol e dota para de me ofender,1
241,quero ver esse dota amanha @perrone_18  @jfrankjunior,1
242,no meu who to follow só tem jogador de dota acho que isso significa que alguém está bem viciadinha,1
243,q povo burro jesus,0
244,acho q vo voltar pro dota,1
245,minha boca tá dota cortada ?,0
246,adicionei um vídeo a uma playlist @youtube https//tco/f2hqheruif - super dota,0
247,gostei de um vídeo @youtube https//tco/wfzwdb275bãs de half-life atacam dota 2! | flash effect,1
248,g dota 2,1
249,@adriano40026193 atualmente quase nada pq nao esta rodandomas curto mto cs overwatch lol dota osu1 agora pub… https//tco/0ct5h8oqiw,1
250,jogar é um dota aqui enquanto o almoço não fica pronto,1
251,@enriquezkarl @mariooojose quit dota 2,1
252,bom aparentemente eu só to perdendo no dota pq só jogo com uns gênios que fazem medusa suporte boa noite,1
253,vamo dota,1
254,tara dota,1
255,jogar um dota e tomar um cerveja ao mesmo tempo não tem preço?,0
256,meu negócio é ser ruim no dota mas tão bonito o cenário do lol,1
257,to sem sono acho que vou jogar dota de novo,1
258,@nikfg07 eu to no binho na próxima to dota contigo,1
259,@jprgenehr naoooele joga dota não lol,1
260,meu namorado começou a jogar dota,1
261,rt @serenaaguiar como vocês gostam de cara maromba quando existe esse tipo de corpinho no mundo? https//tco/ggm0neyitg,1
262,eu me estresso jogando dota,1
263,rt @fatosex qnd vc ta doido pra fazer um drama mas tem q manter a calma https//tco/yqv2oveu3d,0
264,rt @spac3boy @castrohoe ata ai tem que se fudeinternet so da otario- dota mano -,1
265,@anjinhachan me diz uma coisa que não ta melhor que dota,1
266,rt @brgenovez descobriram quem hackeou a pabllo pq o cara foi jogar dota hahahahahahahahaah https//tco/jc1oinb0tg,1
267,acho que vou ate voltar jogar dota e cs msm,1
268,finalmente estou desbanido no dota é hj q eu durmo amanhã,1
269,rt @tensoblog vem que tem dota https//tco/85fbizbncc,1
270,domingo é dia de chorar ouvindo música rasgada e jogando dota e cs pra aliviar a vontade de morrer,1
271,@andykaputera @fahmyiswicked dota ?emmm,1
272,@chezardd sei la ia ser tipo o monkey king do dota talvez mas imagina um de op jogar de kaku virando uma girafa m… https//tco/yhbv7vy6ga,1
273,tara dota! — gem! https//tco/0rtdlafmvw,1
274,@joicyreiss eu ouvi dota? ?,1
275,rt @mozzein_ olha mãe com uma mão só! https//tco/krzjqrcvxf,0
276,@vifrederico bolsominion nunca foi gente,0
277,gostei de um vídeo @youtube https//tco/hbytwza0fs 2 mods | 20 slotted easy money!! | baumi plays legends of dota redux,1
278,bom dia ?,0
279,rt @pri0ri o unico jogo q existe é dota 2 o resto é matrix irreal feita sob medida pra vender pro gado comprar jogar 20h e cansar pra com…,1
280,se tiver dota hoje vo joga pra soca o pilao mesmo,1
281,churrasco rolando e o povo discutindo dota,1
282,rt @spac3boy @castrohoe dota no meu disco e a valve e um lixodesinstaleidota mano =,1
283,rt @afronotopo quem pegou essa época vai dar rt https//tco/rbiemj0ql6,0
284,só serve para jogar dota,1
285,dai vc acorda 6 horas da manhã vai tomar café e escuta seu irmão jogando dota,1
286,@tarsilacibele eu vi agorinha mas eu jogo é dota haha quero nem saber de lol,1
287,@periottocelso baixa um csgo ai ou dota q a gente joga fds,1
288,gostei de um vídeo @youtube https//tco/o2cg1rpi7x vs newbee - ti7 grand final - the international 2017 dota 2,1
289,quando n é por ladaia de mina o cara se estressa c dota assim n da pra viver pq eu n consigo largar nenhum dos dois kkkkkkkkkkkkkkkkkkkkkkk,1
290,@anejoestar sei lá eu enjoei 100% de dota pra saber o que é meta mas todo mundo feeda de vez em quando,1
291,@mccreereynolds fiquei 3/15 de venomancer no dota ehhehehe,1
292,o mundo do dota é uma novela mexicana,1
293,pq dj daddy dota all i ever wanted e pretty rave girl são basicamente iguais?,0
294,será que o fim de uma era é eu começar a me render a dota ou lol?,1
295,saudade de quando a briga na internet era sobre dota vs lolhoje é só esquerda x direita,1
296,@thecomedian_q a o time deles tá bom até crystalize sabe jogar dotarodjer é muito bom eles n poderiam contratar… https//tco/brsdxmihww,0
297,@rozeiman boi dota im in ???,0
298,sou o melhor jogador de dota da minha rua,1
299,eu tava muito tranquila até ir jogar dota com a laís e morrer dezesseis vezes,1
